line	trial	thousand_kernel_weight
'1137|PI574359'	GRINcore_2009_Lab_Aberdeen	31
'1138'	GRINcore_2009_Lab_Aberdeen	36.2
'1151'	GRINcore_2009_Lab_Aberdeen	30.2
'1157'	GRINcore_2009_Lab_Aberdeen	37.9
'1169'	GRINcore_2009_Lab_Aberdeen	29.9
'1171'	GRINcore_2009_Lab_Aberdeen	35.8
'1182|PI574378'	GRINcore_2009_Lab_Aberdeen	30.8
'1183'	GRINcore_2009_Lab_Aberdeen	34.5
'1188'	GRINcore_2009_Lab_Aberdeen	33.6
'NR2'	GRINcore_2009_Lab_Aberdeen	32.5
'MG4471'	GRINcore_2009_Lab_Aberdeen	40.8
'MG17977'	GRINcore_2009_Lab_Aberdeen	42.7
'MG17981'	GRINcore_2009_Lab_Aberdeen	44
'MG18017|PI577777'	GRINcore_2009_Lab_Aberdeen	50.6
'MG18058|PI577786'	GRINcore_2009_Lab_Aberdeen	39.9
'FL8150-J9-K1'	GRINcore_2009_Lab_Aberdeen	41.3
'IOBRED73'	GRINcore_2009_Lab_Aberdeen	34.7
'SPINKCOTA'	GRINcore_2009_Lab_Aberdeen	35.2
'SATANTA'	GRINcore_2009_Lab_Aberdeen	38.6
'RED_BURT'	GRINcore_2009_Lab_Aberdeen	47.6
'XELAJU'	GRINcore_2009_Lab_Aberdeen	42.5
'COXILHA'	GRINcore_2009_Lab_Aberdeen	40.7
'TIBA'	GRINcore_2009_Lab_Aberdeen	40
'GABO55'	GRINcore_2009_Lab_Aberdeen	45
'NARINO60'	GRINcore_2009_Lab_Aberdeen	46.7
'OBREGON'	GRINcore_2009_Lab_Aberdeen	47.2
'CI2608'	GRINcore_2009_Lab_Aberdeen	44.8
'FULCASTER'	GRINcore_2009_Lab_Aberdeen	36.6
'CI8118'	GRINcore_2009_Lab_Aberdeen	47.1
'PRIMA|CITR14351'	GRINcore_2009_Lab_Aberdeen	33.2
'RYMER'	GRINcore_2009_Lab_Aberdeen	38.6
'CONCURRENT'	GRINcore_2009_Lab_Aberdeen	44.9
'CITR7119'	GRINcore_2009_Lab_Aberdeen	39.3
'GRANDE_DEL_NORTE'	GRINcore_2009_Lab_Aberdeen	32.6
'LA_CLASE'	GRINcore_2009_Lab_Aberdeen	31.7
'LEBARATA'	GRINcore_2009_Lab_Aberdeen	32.4
'CI8361'	GRINcore_2009_Lab_Aberdeen	35.3
'PEQUENO'	GRINcore_2009_Lab_Aberdeen	32.6
'CI8363'	GRINcore_2009_Lab_Aberdeen	36
'TAMMI'	GRINcore_2009_Lab_Aberdeen	34
'65BPW'	GRINcore_2009_Lab_Aberdeen	38.6
'C17-1-1-1'	GRINcore_2009_Lab_Aberdeen	39.9
'LOVRIN25'	GRINcore_2009_Lab_Aberdeen	50.4
'LUSHNJA'	GRINcore_2009_Lab_Aberdeen	39.5
'MYSEGEJA'	GRINcore_2009_Lab_Aberdeen	41.9
'CORA'	GRINcore_2009_Lab_Aberdeen	42.4
'SAKIGAKE_KOMUGI'	GRINcore_2009_Lab_Aberdeen	35.8
'PUSA_FLORENCE'	GRINcore_2009_Lab_Aberdeen	46.4
'ALTO'	GRINcore_2009_Lab_Aberdeen	46.2
'ARMINDA'	GRINcore_2009_Lab_Aberdeen	39.7
'BASTION'	GRINcore_2009_Lab_Aberdeen	36.6
'CATON'	GRINcore_2009_Lab_Aberdeen	45.4
'FANION'	GRINcore_2009_Lab_Aberdeen	41.9
'GLANOR'	GRINcore_2009_Lab_Aberdeen	47.8
'PRINQUAL'	GRINcore_2009_Lab_Aberdeen	36.6
'KASTICKA_BEZOSINNA'	GRINcore_2009_Lab_Aberdeen	38.4
'RADOSINSKA_KAROLA'	GRINcore_2009_Lab_Aberdeen	39.1
'SLOVENSKA_B'	GRINcore_2009_Lab_Aberdeen	42.3
'VIGLASSKA'	GRINcore_2009_Lab_Aberdeen	32.7
'VISNOVSKA_HUSTOKLASA'	GRINcore_2009_Lab_Aberdeen	42.4
'AIDLOCHOVICKA_HOLICE'	GRINcore_2009_Lab_Aberdeen	39.3
'BUCIANSKA_CERVENOKLASA'	GRINcore_2009_Lab_Aberdeen	42.4
'DETENICKA_CERVENA_VOUSKA'	GRINcore_2009_Lab_Aberdeen	39.9
'KOSUTSKA'	GRINcore_2009_Lab_Aberdeen	54.2
'PREROVSKA_ALBA'	GRINcore_2009_Lab_Aberdeen	40
'RADOSINSKA_DORADE'	GRINcore_2009_Lab_Aberdeen	42.8
'RATBORSKA_MAJA'	GRINcore_2009_Lab_Aberdeen	44.4
'DRAGA'	GRINcore_2009_Lab_Aberdeen	40.8
'DIANA_II'	GRINcore_2009_Lab_Aberdeen	37.8
'SLAVIA'	GRINcore_2009_Lab_Aberdeen	36.4
'BUCIANSKA'	GRINcore_2009_Lab_Aberdeen	36.9
